Date,Traffic Source,New vs Returning Visitors,Device Type,Browser Type,Operating System,Geographic Data - Country,Landing Page,Exit Page,Campaign,Page Views,Sessions,Bounce,Avg. Session Duration,Converted
2024-09-13,Direct,New,Mobile,Safari,iOS,Andhra Pradesh,Product Page,Checkout,Newsletter,11,3,Yes,8.54,No
2024-08-13,Paid,New,Mobile,Safari,iOS,Andhra Pradesh,Blog,Checkout,Product Launch,4,6,No,8.23,Yes
2024-09-02,Direct,New,Mobile,Chrome,Android,Delhi,Contact Us,Contact Us,Spring Sale,4,2,No,6.45,No
2024-10-13,Direct,New,Desktop,Chrome,Windows,Uttar Pradesh,Product Page,Product Page,Product Launch,7,3,No,9.66,Yes
2024-08-27,Direct,Returning,Mobile,Chrome,Android,West Bengal,Homepage,Contact Us,Holiday Discounts,4,1,Yes,7.49,No
2024-08-09,Organic,New,Mobile,Chrome,Android,Andhra Pradesh,Homepage,Homepage,Spring Sale,6,5,No,8.92,Yes
2024-10-09,Organic,New,Mobile,Chrome,Android,Delhi,Contact Us,Product Page,Holiday Discounts,3,0,Yes,8.90,No
2024-09-19,Direct,Returning,Mobile,Firefox,Android,Goa,Product Page,Homepage,Holiday Discounts,3,3,No,9.13,Yes
2024-09-23,Organic,Returning,Tablet,Chrome,Windows,Tamil Nadu,Homepage,Checkout,Spring Sale,5,5,No,5.00,No
2024-08-16,Organic,New,Desktop,Chrome,Windows,Andhra Pradesh,Homepage,Homepage,Holiday Discounts,2,2,No,5.84,No
2024-08-18,Organic,New,Desktop,Chrome,Windows,Haryana,Homepage,Product Page,Spring Sale,7,3,Yes,8.63,No
2024-07-28,Organic,New,Mobile,Chrome,Android,Jammu and Kashmir,Homepage,Contact Us,Spring Sale,7,3,No,8.96,Yes
2024-09-26,Direct,Returning,Mobile,Chrome,Android,Uttar Pradesh,Homepage,Blog,Product Launch,6,3,No,5.96,No
2024-08-04,Organic,New,Desktop,Edge,Windows,Andhra Pradesh,Homepage,Contact Us,Spring Sale,7,6,No,9.01,Yes
